iter	RMSE
616	52.66800141
617	52.63377834
618	52.5692156
619	52.53959366
620	52.51390351
621	52.46401375
622	52.4285959
623	52.36747551
624	52.30816349
625	52.23948673
626	52.21091668
627	52.1596833
628	52.08584469
629	52.04204368
630	51.98675908
631	51.94524045
632	51.87871233
633	51.83336225
634	51.77896729
635	51.74056939
636	51.67991978
637	51.59160277
638	51.53688409
639	51.47455061
640	51.41978443
641	51.38025891
642	51.36428632
643	51.31622386
644	51.29850341
645	51.26177432
646	51.21829182
647	51.17851511
648	51.12709837
649	51.0765341
650	51.02255215
651	50.95344212
652	50.89385598
653	50.88088064
654	50.82848719
655	50.793754
656	50.72593332
657	50.63990561
658	50.57435601
659	50.54256831
660	50.48287663
661	50.43006545
662	50.39379947
663	50.33805082
664	50.27644324
665	50.22796523
666	50.17940674
667	50.1528595
668	50.12089916
669	50.06356603
670	50.03112681
671	49.99678352
672	49.9541308
673	49.90428413
674	49.85914102
675	49.82178272
676	49.71884531
677	49.67938812
678	49.62765473
679	49.59489156
680	49.57878496
681	49.53776033
682	49.47789732
683	49.40768303
684	49.38033975
685	49.33468864
686	49.28071061
687	49.24859348
688	49.19100126
689	49.15909854
690	49.12794227
691	49.07216049
692	49.03721399
693	49.02434833
694	48.97387318
695	48.95701264
696	48.91580816
697	48.88770532
698	48.82699905
699	48.77020414
700	48.71083962
701	48.65927362
702	48.63204948
703	48.59220592
704	48.55998372
705	48.51197566
706	48.45653896
707	48.40247746
708	48.35905242
709	48.30796729
710	48.27325146
711	48.22143488
712	48.20779949
713	48.14150365
714	48.0668931
715	48.03860859
716	47.99778586
717	47.96904266
718	47.91780614
719	47.87722501
720	47.8388023
721	47.77728289
722	47.73546133
723	47.69058426
724	47.65098591
725	47.62664486
726	47.58036593
727	47.53794054
728	47.51304826
729	47.47132799
730	47.43792281
731	47.39352061
732	47.35717142
733	47.33315555
734	47.30053619
735	47.24696098
736	47.19212072
737	47.11065723
738	47.10323582
739	47.0727694
740	47.05035102
741	47.001091
742	46.97632927
743	46.93346198
744	46.89555854
745	46.83068666
746	46.78354041
747	46.74263659
748	46.7013311
749	46.65668405
750	46.62466423
751	46.60026564
752	46.56237995
753	46.53465765
754	46.50475029
755	46.46595429
756	46.40583101
757	46.34494096
758	46.30552197
759	46.27012356
760	46.23967037
761	46.19173384
762	46.15403005
763	46.12561674
764	46.06561617
765	46.02316929
766	45.98663002
767	45.94190011
768	45.89163175
769	45.85639404
770	45.80780175
771	45.75382518
772	45.70974827
773	45.68765581
774	45.64057697
775	45.58141598
776	45.54743823
777	45.53704574
778	45.49665823
779	45.45157429
780	45.40811642
781	45.3685696
782	45.32150678
783	45.28949078
784	45.27010043
785	45.24584892
786	45.21571177
787	45.1678229
788	45.14066813
789	45.11667332
790	45.06977301
791	45.03330134
792	44.98158953
793	44.95297201
794	44.9181591
795	44.88073048
796	44.82070914
797	44.79591205
798	44.7443848
799	44.72352512
800	44.67934681
801	44.66968321
802	44.63431582
803	44.58662041
804	44.53509097
805	44.4713108
806	44.43790591
807	44.41817862
808	44.35752362
809	44.27245659
810	44.24384308
811	44.21057619
812	44.16259522
813	44.11627431
814	44.08769394
815	44.06196147
816	44.02386734
817	43.99627688
818	43.97507958
819	43.94462073
820	43.91987135
821	43.9083211
822	43.86487767
823	43.80294694
824	43.76735992
825	43.73195804
826	43.70006213
827	43.6717464
828	43.62701289
829	43.58335581
830	43.53494655
831	43.50803161
832	43.45907756
833	43.43053263
834	43.39424108
835	43.34376054
836	43.32778823
837	43.29554319
838	43.26174442
839	43.24094168
840	43.2002768
841	43.1445807
842	43.10800399
843	43.07055518
844	43.05014747
845	43.01968034
846	42.99643395
847	42.94035678
848	42.9034264
849	42.87981028
850	42.84516059
851	42.817315
852	42.76997937
853	42.72859075
854	42.70353625
855	42.67864829
856	42.64783593
857	42.62697678
858	42.60013785
859	42.55977024
860	42.52209498
861	42.48364683
862	42.45870804
863	42.42137359
864	42.40793571
865	42.36214528
866	42.3188417
867	42.28241923
868	42.26033722
869	42.23284207
870	42.19316653
871	42.16657977
872	42.14547902
873	42.10202711
874	42.07281833
875	42.03609453
876	41.9960904
877	41.95032008
878	41.91322842
879	41.87919038
880	41.84239417
881	41.79696261
882	41.76215974
883	41.72194411
884	41.67277598
885	41.66020798
886	41.62313871
887	41.58650409
888	41.55128464
889	41.51887863
890	41.49521878
891	41.45412167
892	41.41421504
893	41.3851408
894	41.35622557
895	41.3256307
896	41.29737548
897	41.25674331
898	41.2393486
899	41.2073603
900	41.15569432
901	41.12768067
902	41.08180302
903	41.04177021
904	41.02678288
905	40.98870863
906	40.9654158
907	40.93248746
908	40.89279513
909	40.85936116
910	40.83130094
911	40.79625779
912	40.76369495
913	40.73452724
914	40.69010055
915	40.6535334
916	40.61639338
917	40.57133578
918	40.54025469
919	40.50303594
920	40.47146979
921	40.44093327
922	40.40868904
923	40.37220189
924	40.32902636
925	40.3211461
926	40.2917284
927	40.26536452
928	40.23888601
929	40.21734388
930	40.19264744
931	40.15534698
932	40.12026985
933	40.08831238
934	40.0448658
935	40.00334119
936	39.96548292
937	39.92136872
938	39.88125498
939	39.84342669
940	39.8168409
941	39.78377703
942	39.74210365
943	39.72111911
944	39.684155
945	39.64821639
946	39.6213815
947	39.58555234
948	39.56750299
949	39.53402536
950	39.51034155
951	39.48101547
952	39.44795617
953	39.43014461
954	39.39510182
955	39.37516854
956	39.33387612
957	39.30024816
958	39.27060892
959	39.23797634
960	39.227079
961	39.20286959
962	39.16796459
963	39.13915315
964	39.1202681
965	39.08213051
966	39.05163437
967	39.00981056
968	38.97038408
969	38.93668426
970	38.90217986
971	38.87705158
972	38.85661502
973	38.83479457
974	38.8004736
975	38.77056568
976	38.74253766
977	38.7110222
978	38.68554416
979	38.65997045
980	38.62695959
981	38.59420086
982	38.57843133
983	38.54564405
984	38.53052175
985	38.50180849
986	38.46730237
987	38.44516946
988	38.42286215
989	38.38083191
990	38.33576306
991	38.28928661
992	38.25906802
993	38.2361528
994	38.21300824
995	38.17509415
996	38.14767911
997	38.10456933
998	38.08030142
999	38.05084432
